phrase,intent
"Объясни , что такое "" крикет "" ?",wiki
какова продолжительность жизни дождевого червя ?,wiki
Сколько у осьминога сердец ?,wiki
Что такое пудинг ?,wiki
сколько живет обычный дождевой червь ?,wiki
Что это за штука такая - Солнечный ветер ?,wiki
где живут пингвины ?,wiki
"Вика , расскажи , где обитает рысь ?",wiki
Что такое патиссон ?,wiki
Кто обычно коронует монархов ? Представители какого сословия ?,wiki
"В каком году написана "" Божественная комедия "" ?",wiki
В Каких коалициях СССР состоял в 1936 году ?,wiki
Что такое говядина ?,wiki
Какое животное живет в дупле ?,wiki
Сколько весят осьминоги ?,wiki
где живут моржи ?,wiki
Сколько длится жизнь бабочки ?,wiki
Где находится Норвегия ?,wiki
"От какого корня в русском языке возникло слово "" трусЫ "" ? Почему во множественном числе ?",wiki
Что происходит с водой при охлаждении ?,wiki
где живут страусы ?,wiki
"Сколько в Санкт-Петербурге львов ( естественно , не живых ) ?",wiki
Что такое интеллект ?,wiki
откуда взялся математический ноль ?,wiki
Почему сдавливает давление на глубине ?,wiki
Что такое Церера ?,wiki
Каковы причины образования радуги ?,wiki
С какого возраста мужчин на Руси называли стариками ?,wiki
"Расскажи , вот Луна - что это такое вообще ?",wiki
какую роль играют растения и животные в разрушении горных пород ?,wiki
"Что такое "" квантовая запутанность "" ?",wiki
Что за штука такая - тензор ?,wiki
Каковы причины образования тумана ?,wiki
"В чём разница между Русской , Финской и Римской баней ?",wiki
Что такое баранина ?,wiki
В каком году пала Византия ?,wiki
Чем сон отличается от смерти ?,wiki
Почему дует Солнечный ветер ?,wiki
Кто первый сконструировал компьютер ?,wiki
Что такое бензокаин ?,wiki
Что отмечается 12 декабря ?,wiki
Сколько в космосе человек в настоящий момент и как их зовут,wiki
Что такое Норвегия ?,wiki
Вопрос по химии в чем причина инертности гелия неона аргона криптона ксенона радона,wiki
"Касательно уравнения Шредингера , что оно описывает ?",wiki
В каком году родился Тютчев ?,wiki
"Я правильно понимаю , что козы едят капусту ?",wiki
Сколько длится полярная ночь ?,wiki
Кто и когда создал календарь ?,wiki
каково происхождение имени Изяслав ?,wiki
"Кто написал "" Мертвые души "" ?",wiki
Что такое бейсбол ?,wiki
Куда грачи осенью улетают ?,wiki
Съедобны ли абрикосовые косточки ?,wiki
"Объясни , что такое "" водное поло "" ?",wiki
Что происходит с водой при нагревании ?,wiki
Когда человек впервые побывал на Луне ?,wiki
Кукуруза фуражная. Что такое- фуражная ?,wiki
"Вика , что такое "" существительное "" ?",wiki
За что Владимир Маяковский сидел в тюрьме ?,wiki
Каким было детство Л. Н Толстого и благодаря кому ?,wiki
Каковы причины образования молний ?,wiki
Какая река впадает в Каспийское море ?,wiki
Кто первый собрал вертолет ?,wiki
"Мамонты , это кто такие ?",wiki
"Что такое "" сказуемое "" ?",wiki
В каком году появился первый компьютер ?,wiki
где живут муравьеды ?,wiki
Кто изобрел лампочку ?,wiki
В каком году родился Лев Николаевич Толстой ?,wiki
Куда впадает Волга ?,wiki
Что такое галлюцинация ?,wiki
Что такое закон Архимеда ?,wiki
Хочу узнать про патиссоны - что это такое ?,wiki
Что такое флорбол ?,wiki
"Как называется явление в климате , когда погодные условия очень часто меняются ?",wiki
Из чего состоит гашеная известь ?,wiki
В каком году варвары захватили Рим ?,wiki
Что такое Марс ?,wiki
Что такое Земля ?,wiki
Где находятся гормоны в организме человека и что это вообще такое ?,wiki
"Какой рельеф дна у Северного Ледовитого океана , какие у него средняя и наибольшие глубины",wiki
Когда родился Пушкин ?,wiki
Почему у нашего герба две головы ?,wiki
"Чем опасно для человека , растения , животного , и насекомого , усиленное таяние ледников ?",wiki
Как получается водяной пар ?,wiki
"Объясни , что такое существительное ?",wiki
Что входит в состав воды ?,wiki
Кто такие мамонты ?,wiki
где живут аллигаторы ?,wiki
В каком году создан Doom ?,wiki
